Nom,Alquiler,Extra,Carrer,Direccion,Barri,Districte,Població,Província,Descripcion,Latitud,Longitud
Alquiler de piso en calle d'albacete,1.400 €/me,    165 m²   4 hab.   4ª planta exterior, Carrer d'albacete  , Carrer d'albacete   Arrancapins     Extramurs    ,Arrancapins   , Extramurs   ,Valencia,València,"Se alquila estupendo Piso de lujo con ascensor muy luminoso en la zona de Arrancapins. Tiene una superficie de 165 m2, distribuidos en 4 habitaciones, 2 baños, comedor y cocina, con electrodomésticos. Es exterior, con una excelente situación cerca de colegio, farmacia, ambulatorio, parque y parad...",39.4631591,-0.3841898
"Alquiler de piso en xativa, 10",750 €/m  ,60 m²   1 hab.   2ª planta exterior,"  xativa, 10  ","  xativa, 10   La Roqueta     Extramurs    ",La Roqueta   , Extramurs   ,Valencia,València,"Excelente vivienda de diseño con reforma a estrenar, consta de 1 dormitorio, salón-comedor, cocina, baño completo, toda la casa amueblada con electrodomésticos, aire acondicionado, armarios empotrados, gastos de comunidad incluidos en el precio.",39.4677638,-0.3787519
Alquiler de piso en calle Horneros,1.100 €/me,    105 m²   2 hab.   2ª planta exterior, Carrer Horneros  , Carrer Horneros   Sant Francesc     Ciutat Vella    ,Sant Francesc   , Ciutat Vella   ,Valencia,València,"Gestión de Viviendas alquila precioso piso en pleno centro con reforma a estrenar. Se trata de una segunda altura. Tiene dos habitaciones, dos baños completos con plato de ducha y cocina equipada con electrodomésticos. Aire acondicionado en el salón y las dos habitaciones. El suelo es de parquet,...",39.4685766,-0.3755497
Alquiler de piso en calle Horneros,1.100 €/me,    105 m²   2 hab.   3ª planta exterior, Carrer Horneros  , Carrer Horneros   Sant Francesc     Ciutat Vella    ,Sant Francesc   , Ciutat Vella   ,Valencia,València,"Gestión de Viviendas alquila precioso piso reformado a estrenar en pleno centro de Valencia. Se trata de una tercera altura con cocina con electrodomésticos integrada en el salón, dos cuartos de baño completos con plato de ducha y dos habitaciones. Aire acondicionado en el salón y en las habitaci...",39.4685766,-0.3755497
"Alquiler de piso en calle de la Vall d'Aiora, 6",850 €/m  ,100 m²   3 hab.   1ª planta exterior," Carrer de la Vall d'Aiora, 6  "," Carrer de la Vall d'Aiora, 6   Benicalap     Benicalap    ",Benicalap   , Benicalap   ,Valencia,València,"AGENCIA INMOBILIARIA alquila Bonita vivienda de 100 m2 al lado Cortes Valencianas. El piso es todo exterior y luminoso con suelo de parquet en toda la casa, salón-comedor con acceso a una bonita terraza, cocina independiente con electrodomésticos, 3 dormitorios y 2 baños completos. El piso es un...",39.49465550000001,-0.399976
Alquiler de piso en calle del Músic Penella,550 €/m  ,70 m²   2 hab.   4ª planta exterior, Carrer del Músic Penella  , Carrer del Músic Penella   L'Hort de Senabre     Jesús    ,L'Hort de Senabre   , Jesús   ,Valencia,València,"Alquiler piso Valencia, de 70 m² construidos, Completamente reformado a estrenar, distribuidos en 2 habitaciones dobles, un baño completo con plato de ducha, amplio salón-comedor con balcón exterior y cocina office. La vivienda se encuentra amueblada y con todos los electrodomésticos, en perfecto...",39.4520163,-0.3926671
"Alquiler de ático en calle del Riu Segre, 29",650 €/m  ,50 m²   1 hab.   8ª planta exterior," Carrer del Riu Segre, 29  "," Carrer del Riu Segre, 29   Nou Benicalap     Benicalap    ",Nou Benicalap   , Benicalap   ,Valencia,València,"Precioso ático de 50 m2 en 8ª planta de finca nueva en zona Nou Benicalap. Una habitación, un baño, cocina office, despensa, terraza de 28 m2 con excelentes vistas a la huerta de Valencia y a la Sierra Calderona, armarios empotrados, zapateros, suelo de parquet, aire acondicionado frío/calor, rad...",39.4934603,-0.3867769
Alquiler de piso en avenida de les corts valencianes,625 €/m  ,60 m²   1 hab.   8ª planta exterior, Avinguda de les corts valencianes  , Avinguda de les corts valencianes   Benicalap     Benicalap    ,Benicalap   , Benicalap   ,Valencia,València,"ALQUILER VIVIENDA EN VALENCIA. Magnifica vivienda tipo apartamento de una sola habitación tipo suite, baño completo, cocina office. La vivienda esta amueblada, cocina equipada con electrodomesticos, puerta blindada, balcon. La vivienda es totalmente exterior, con ascensor, calefacción y dispone d...",39.4898677,-0.3990855
"Alquiler de piso en carretera de Malilla, 102",790 €/m  ,130 m²   3 hab.   4ª planta exterior," Carretera de Malilla, 102  "," Carretera de Malilla, 102   Malilla     Quatre Carreres    ",Malilla   , Quatre Carreres   ,Valencia,València,"Extraordinaria vivienda situada en Carretera de Malilla, a 400 m del nuevo Hospital La Fe, muy bien situada con todos los servicios: transportes públicos, parada de autobús en la puerta, supermercados, farmacias, colegios, bien comunicado al centro de Valencia y salida al bulevar sur y V 30. Fáci...",39.44676200000001,-0.380258
Alquiler de piso en avenida del cid,650 €/m  ,93 m²   3 hab.   6ª planta exterior, Avinguda del cid  , Avinguda del cid   Tres Forques     L'Olivereta    ,Tres Forques   , L'Olivereta   ,Valencia,València,"Alquiler piso en el barrio de la Olivereta, Valencia. De 93 m² construidos, distribuidos en 3 habitaciones (dos dobles y una sencilla), un baño completo con plato de ducha, otro baño en suite con plato de ducha, amplio salón comedor con balcón exterior, cocina independiente equipada, y una galerí...",39.4689244,-0.4002552
Alquiler de piso en calle Cuartell,450 €/m  ,78 m²   3 hab.   2ª planta exterior, Carrer Cuartell  , Carrer Cuartell   Benicalap     Benicalap    ,Benicalap   , Benicalap   ,Valencia,València,"Cocina Reformada + Baño Reformado + Amplio Salon con balcon = La formula perfecta para encontrar el hogar que estas buscando. Te presentamos este piso ubicado en el corazon de Benicalap muy proximo a la parada del tranvia y al empalme del Metro. El piso cuenta con tres habitaciones, un cuarto de...",39.4953701,-0.3976553
Alquiler de piso en carretera escriva,500 €/m  ,93 m²   3 hab.   2ª planta interior, Carretera escriva  , Carretera escriva   La Raiosa     Jesús    ,La Raiosa   , Jesús   ,Valencia,València,"Alquiler piso en el barrio de Jesús, Valencia. De 93 m² construidos, distribuidos en 3 habitaciones (una doble y dos sencillas), un baño completo reformado con plato de ducha, amplísimo salón comedor con mucha luz, cocina independiente equipada, y una galería con tendedero. Piso interior, muy lum...",39.4579897,-0.3852798
Alquiler de piso en calle de la reina violant,900 €/m  ,120 m²   2 hab.   8ª planta exterior, Carrer de la reina violant  , Carrer de la reina violant   Sant Pau     Campanar    ,Sant Pau   , Campanar   ,Valencia,València,"Alquiler piso en Valencia. Magnifica vivienda en alquiler en zona de Campanar, consta de dos amplias habitaciones, con dos baños completos, uno de ellos incorporado en la suite. Vivienda de 120m2 con armarios empotrados, cocina office, calefacción, 2 plazas de garaje, parquet, equipamiento de ele...",39.4861906,-0.4025277
Alquiler de piso en calle Bilbao,650 €/m  ,90 m²   3 hab.   5ª planta exterior, Carrer Bilbao  , Carrer Bilbao   Sant Antoni     La Saïdia    ,Sant Antoni   , La Saïdia   ,Valencia,València,"VIVIENDA REFORMADA DE 90 M2 EN LA CALLE BILBAO. Vivienda reformada de 111 m2. Dispone de HALL de Entrada, amplio SALÓN-COMEDOR con Balcón, 3 DORMITORIOS (2 dobles y 1 sencillo), 1 BAÑO completo con ducha y doble seno y COCINA cuadrada equipada con electrodomésticos. Se alquila sin muebles. Pavime...",39.4882331,-0.3721487
Alquiler de piso en calle Santa Teresa,850 €/m  ,130 m²   3 hab.   1ª planta exterior, Carrer Santa Teresa  , Carrer Santa Teresa   El Mercat     Ciutat Vella    ,El Mercat   , Ciutat Vella   ,Valencia,València,"FANCY HOLDINGS alquila vivienda en el barrio del pilar, situada en un edificio del año 1900 íntegramente rehabilitado y a pocos minutos andando a la Plaza Ayuntamiento, barrio del carmen, mercado central y en pleno centro histórico de la ciudad. Vivienda de 130m2 distribuida en salón comedor, tr...",39.4744236,-0.38127
Alquiler de piso en Corretgeria,700 €/m  ,50 m²   1 hab.   3ª planta exterior,  Corretgeria  ,  Corretgeria   La Seu     Ciutat Vella    ,La Seu   , Ciutat Vella   ,Valencia,València,"DISPONIBLE ABRIL Y MAYO. Gestión de Viviendas alquila apartamento en el centro de Valencia, cerca de la Plaza de la Reina. Muy luminoso y tranquilo. Reformado con aire acondicionado y calefacción, suelo de parque, ventanas con aislamiento térmico y acústico. El piso dispone de cocina integrada en...",39.4753336,-0.3765324
Alquiler de piso en LITOGRAFO PASCUAL Y ABAD,550 €/m  ,65 m²   2 hab.   1ª planta exterior,  LITOGRAFO PASCUAL Y ABAD  ,  LITOGRAFO PASCUAL Y ABAD   L'Hort de Senabre     Jesús    ,L'Hort de Senabre   , Jesús   ,Valencia,València,"FANCY HOLDINGS ALQUILA PRECIOSO APARTAMENTO DE 63 m2 íntegramente reformado, 2 dormitorios con armarios empotrados, 1 baño completo con plato de ducha, salón comedor con aire acondicionado frío/calor, cocina office totalmente equipada, suelo de gres, puertas haya, ventanas doble cristal (climalit...",39.4514,-0.39266
"Alquiler de ático en Democracia, 48",500 €/m  ,55 m²   1 hab.   5ª planta interior,"  Democracia, 48  ","  Democracia, 48   Nou Moles     L'Olivereta    ",Nou Moles   , L'Olivereta   ,Valencia,València,"En la calle de la Democracia, antes Castan Tobeñas. Alquilamos ático de 50 m de superficie. Se distribuye en salón, cuarto de baño, una habitación doble, cocina con electrodomésticos, con gas butano, terraza y trastero. Suelo de tarima flotante, puertas de haya y ventanas de aluminio. Muy soleado...",39.4735454,-0.4003485
"Alquiler de piso en avenida del Mestre Rodrigo, 107",1.300 €/me,    137 m²   3 hab.   7ª planta exterior," Avinguda del Mestre Rodrigo, 107  "," Avinguda del Mestre Rodrigo, 107   Sant Pau     Campanar    ",Sant Pau   , Campanar   ,Valencia,València,"Se alquila vivienda situada en la Avenida Maestro Rodrigo, totalmente amueblada (mobiliario actual) y exterior. Cuenta con luminoso salón-comedor desde donde se accede a una amplia terraza, 3 habitaciones (todas ellas con armarios empotrados), 2 baños completos (1 de ellos en suite) y cocina equi...",39.4865706,-0.4043574
"Alquiler de piso en avenida de les Balears, 33",895 €/m  ,90 m²   2 hab.   7ª planta exterior," Avinguda de les Balears, 33  "," Avinguda de les Balears, 33   Penya-Roja     Camins al Grau    ",Penya-Roja   , Camins al Grau   ,Valencia,València,"Ideal para parejas jovenes. Ideal para familias con 1-2 hijos. Vivienda soleada de mañana. Vivienda soleada de tarde. Vivienda en la mejor zona de Avda Baleares, junto al club de tenis. La vivienda ha sido reformada recientemente y redistribuida. Cuenta con 2 dormitorios (con posibilidad de conve...",39.4629458,-0.3541452
Alquiler de piso en calle d'almudaina,550 €/m  ,90 m²   3 hab.   6ª planta exterior, Carrer d'almudaina  , Carrer d'almudaina   La Creu Coberta     Jesús    ,La Creu Coberta   , Jesús   ,Valencia,València,"Alquiler de piso en Valencia. Maginfica vivienda muy iluminada y totalmente reformada. La vivienda de 90 m2 consta de tres amplias habitaciones, con vestibulo, dos cuartos de baño, amplio salon comerdor y cocina totalmente equipada. Dentro de sus caracteristicas el suelo es de gres porcelanico, v...",39.4535367,-0.3828868
Alquiler de piso en paseo de l'Albereda,1.300 €/me,    147 m²   3 hab.   6ª planta exterior, Paseo de l'Albereda  , Paseo de l'Albereda   Penya-Roja     Camins al Grau    ,Penya-Roja   , Camins al Grau   ,Valencia,València,"CIUDAD DE LAS ARTES Y DE LAS CIENCIAS, FANTÁSTICAS VISTAS EN PLENA PROLONGACIÓN DEL PASEO DE LA ALAMEDA, Vivienda seminueva de 147m2. Dispone de HALL de Entrada, SALÓN-COMEDOR espacioso con Balcón-Terraza, 3 DORMITORIOS amplios, 2 BAÑOS completos (de los cuales 1 de ellos está incorporado al dorm...",39.4584315,-0.3511969
Alquiler de piso en avenida del Cardenal Benlloch,650 €/m  ,115 m²   3 hab.   2ª planta exterior, Avinguda del Cardenal Benlloch  , Avinguda del Cardenal Benlloch   L'Amistat     Algirós    ,L'Amistat   , Algirós   ,Valencia,València,"Gestión de Viviendas alquila bonito piso con reforma a estrenar en la avenida Cardenal Benlloch. Se trata de un segunda altura, todo exterior. El piso se distribuye en tres habitaciones, una de ellas, la principal, con baño en suite con plato de ducha, todas con armarios empotrados. El otro cuart...",39.4727524,-0.3536671
"Alquiler de ático en calle de Les Barraques del Figuero, 1",1.100 €/me,    106 m²   2 hab.   21ª planta exterior," Carrer de Les Barraques del Figuero, 1  "," Carrer de Les Barraques del Figuero, 1   La Punta     Quatre Carreres    ",La Punta   , Quatre Carreres   ,Valencia,València,"Fantástico ático de 2 habitaciones con magníficas vistas al mar, amueblado muy coqueto, luminoso y tranquilo, situado en la planta 21 del edificio Torre Oceanis, entre la Ciudad de las Ciencias y el mar. Dispone de: habitación de matrimonio muy amplia y con impresionantes vistas desde la cama, ot...",39.4506823,-0.3404605
Alquiler de piso en calle del Pintor Maella,850 €/m  ,100 m²   4 hab.   7ª planta exterior, Carrer del Pintor Maella  , Carrer del Pintor Maella   La Creu del Grau     Camins al Grau    ,La Creu del Grau   , Camins al Grau   ,Valencia,València,"EXCELENTE VIVIENDA DE 100 M2 EN LA CALLE PINTOR MAELLA. Dispone de HALL de Entrada, SALÓN-COMEDOR cuadrado espacioso con Balcón-Terraza rectangular corrido, 4 DORMITORIOS, 2 BAÑOS completos con bañera (de los cuales 1 de ellos está incorporado al dormitorio principal) y amplia COCINA con pequeño...",39.46084320000001,-0.3476917
Alquiler de piso en Patraix,650 €/m  ,112 m²   3 hab.   7ª planta exterior,   ,    Patraix     Patraix    ,Patraix   , Patraix   ,Valencia,València,"""se alquila vivienda en finca del año 1980 con fachada caravista y 112m2 en zona archiduque carlos- enguera. Vivienda distribuida en tres habitaciones con armarios empotrados, amplia cocina independiente office, salon comedor con vistas al parque y dos baños completos con ducha en obra. Estado de...",39.462494,-0.3913172
"Alquiler de piso en Maestro Rodrigo, 107",1.700 €/me,    180 m²   5 hab.   2ª planta exterior,"  Maestro Rodrigo, 107  ","  Maestro Rodrigo, 107   Sant Pau     Campanar    ",Sant Pau   , Campanar   ,Valencia,València,"Se alquila vivienda de lujo amueblada en segunda planta con ascensor de 180 metros cuadrados en finca seminueva ( año 2007) en Avd Maestro Rodrigo. El piso se distribuye en: Espacioso salon-comedor con amplia terraza acristalada y vistas despejadas, 5 dormitorios ( uno de ellos salita), 2 baños c...",39.4865706,-0.4043574
Alquiler de piso en Benimaclet,800 €/m  ,132 m²   3 hab.   5ª planta exterior,   ,    Benimaclet     Benimaclet    ,Benimaclet   , Benimaclet   ,Valencia,València,"Ref. 02-15124 ASMCASAS Se alquila vivienda VACIA con electrodomesticos en zona Guardia Civil de 132 metros distribuidos en tres dormitorios con armarios empotrados, amplio salón comedor con acceso a terraza, dos baños completos, uno de ellos en suite y cocina independiente office con galería. Pi...",39.4871955,-0.3548312
Alquiler de piso en C/Poeta Rafael Alberti s/n,800 €/m  ,91 m²   2 hab.   10ª planta exterior,  C/Poeta Rafael Alberti s/n  ,  C/Poeta Rafael Alberti s/n   Nou Campanar     Campanar    ,Nou Campanar   , Campanar   ,Valencia,València,"Se alquila magnifico piso situado en C/ Poeta Rafael Alberti, cercano a Avda. General Avilés, zona muy bien comunicada con transporte publico, con multitud de zonas de ocio, supermercados, etc. La vivienda consta de 2 habitaciones, 2 cuartos de baño, cocina office, salón - comedor con acceso a t...",39.49047,-0.40472
